Review,Mark
"Скорость падает переодически, а что случилось с кабельным?? самые интересные каналы убрали! Смотреть нечего, кругом одни новости, звонили в службу поддержки,какую то чушь ответили, обещали исправить, и где?",1
"связи как не было, так и нет...
сижу в центре города на Русанова, все попытки хоть как-то ускорить якобы 3Дж не увенчались успехом... (сломал гору бубнов и загубил толпу шаманов)
только что был в офисе - результат нулевой...
до службы поддержки не дозвониться...
ни-кто ни-чего не может и не хочет мочь...
отстой (лично мое мнение)...
PS. Спасибо девушке за внимание и терпение (что очень большая редкость)",1
"Сегодня с 11 часов нет интернета, звонила 9 раз и каждый раз обещают посмотреть.Уже 20.45 звоню и мне говорят, что все исправлено и работает, но на самом деле соединение слабое, интернет разрывает.Оказывается, действительно есть проблемы и они обещают очередной раз исправить.За что мы платим за обещания?Вывод-менять провайдера.",1
"Сплошной облом, не соответствует действительности, много навязчивого сервиса, отвратительно ""поставлена"" служба поддержки, сайт сервис гида - ""тормозит""",1
"Не понравилась, живу в Крымске скорость маленькая но возможности сменить провайдера нету к сожалению.Не советую этого провайдера, Т.К. Вы часто будете звонить в тех поддержку,ездить к самому провайдеру, и т.д.",1
"обіцяна швидкість 20 мб, а фактична- 1-2 мб!!
нікому не рекомендую! тиждень покористувалася і тре відключатися. тех підтримка ніяка",1
"Господа, не врите людям про скорость, сделайте НОРМАЛЬНУЮ тех поддержку, а не до которой дозваниваешься по 1-2 часа!!!

Качество - 3 из 10
Скорость - как Бог пошлет (подул ветер, села птица, покакала на антену - и все АХТУНГ!!!)
Цена - без комментариев за 1р. зелени - 1Мб\с - у нас не 98 год!

ИТОГО: ЭНФОРТА - не для всех!!!",1
"Несколько месяцев я пользовался тарифам за 390 рублей в месяц и не знал номера 0611. Потом началось через 10-15 дней после оплаты у меня упало скорость. Звоню в колл-центр. Мне говарят что я израсходовал 30Г и у вас в включилось огранившие скорости. При этом страницы вообще не открывались. Мне предложили продлить скорость на 5Г. за 150 рублей. Если 30Г. за 10 дней заканчивается,то дальше только вымогание денег.",1
"Ужасное качество интернета,если есть возможность подключайтесь к другим провайдерам.""Утиль"" он и есть утиль.",1
"Пользуюсь услугами netbynet уже 9-ый год (раньше вроде по-другому назывались). Отключений практически не было, раз 5-6 может быть. Цены только дешевеют, сейчас плачу 600р за реальные 100 Мбит/с. Гольяново",0
Врагу не пожелаешь такой интернет. Скорости почти нет! Провайдер закрывает доступ к сайтам. Кошмар. Работу сделать невозможно.,1
Лучший провайдер для Новомосковска и окрестностей!!! Регулярно увеличивает скорость!!! Меня вполне устраивает!!! Советую всем!!!,0
"все отлично. свао, южное медведково. тариф 51000/25000. аб.плата 950р. жалоб нет!",0
"на тесте до 30Мбит/с не доходит, получается за что я плачу!? (( погано, я смотрю у всех почти так, до этого nbn был, еще хлеще",1
"Абсолютное, унылое, [ЦЕНЗУРА]. Обрывы связи чаще, чем при использовании старых телефонных аппаратов. Был бы выбор - ушёл бы к другому провайдеру не раздумывая. До того как ростелеком сожрал дальсвязь, всё было относительно гладко, хоть и пинг до яндекса был около 600-700, разрывов связи не наблюдалось.
Вобщем бессмысленно описывать всю проблему.
Гореть вам в аду, ростелеком.
А хотя нет...век вам пользоваться своим же интернетом. В аду.",1
"Как пользователь Ростелеком-а и работник Технической Поддержки другого оператора связи, хочу Выразить Вам свое уважение и благодарность.
Было бы очень круто попасть к Вам, для обмена опытом, но я так подозреваю Ваши Администраторы сети в Краснодаре? :)

Одно маленькое нарекание, почему-то не отвечаете на письма в ТП из Личного кабинета. Не получается пользоваться вашей приставкой (MAG-250) через IGMP Proxy (запрашивает логин и пароль, те что есть не подходят), это вообще реально?",0
Постоянные скачки скорости. Причем от плохой до ужасной. Вместо обещанных 10 Мб получаешь 256 КБ. Про Пинг я просто молчу.,1
"Бесплатный сыр бывает только в мышеловке. Пока что самый дешевый и самый худший интернет что у меня был(до этого пользовался ростелекомом, метросетью, югрателом). Тариф максимальный, скорость нормальная только в торренте(4-5мб максимум). Ролики в HD смотреть невозможно.",1
"Уже больше недели скорость не выше 20 Мбит/сек, а тариф 100 Мбит/сек

Адрес: Москва, ул. Фабрициуса 33К3",1
"собственно сабж, цены ужасные, скорости на уровне 2000 года,постоянные лаги и разрывы соединения,сервиса нет никакого если появляется проблема ее решают в течении нескольких недель",1
Скорость этого провайдера меня начала удивлять с момента установки. А так же доступность. Вообще всем советую этого провайдера,0
"купил тариф с 12-ью мегабитами за 450р, работаю на нём третий месяц, никаких обрывов и падений как тут пишут не наблюдаю. в поддержку ещё не обращался.
живу в центре. провайдером доволен.",0
"Я живу в центре города на улице Семашко, и мне не могут провести оптоволокно уже больше 10 лет! Соседний дом в 10 метрах подключен. У меня частный двор, но Я оставлял заявки писал в поддержку, что готов оплатить любые расходы, проводку и т.д. И мне интересно как проводят интернет в частные сектора, которые находятся далеко, а у меня дом в центре и нечего не могут. . Хотя узел рядом. Сейчас 2017 год. У меня Adsl по телефонной линии, кайф, отдача 50кбайт.",1
"В моем случае выход в интернет осуществляется посредством модема МТС с безлимитным тарифом. Не смотря на то что компания - провайдер заявляет о неограниченной скорости интернет серфинга, существует несколько ньюансов, о которых пользователь может и не знать. А именно:

Пропускная способность модема не более 7Мб в сек.
Пинг составляет в среднем 300 мс, что является не самым лучшим показателем и основной причиной медленного открытия страниц и нестабильной скорости.
Тотальная перегруженность каналов 3G, и как следствие постоянное отсутствие интернета, особенно в вечерние часы.

Модем куплен во Владивостоке и выход в интернет осуществляется там же, но судя по некоторым признакам и проверенной информации, сервера этой компании находятся в Хабаровске, что и является на мой взгляд основной проблемой этого провайдера.",1
"отличное качество и пинг в поряде,по сравнению с конкурентами занимает лидирующие позиции...жаль что прокси нет :(",0
"Довольно неплохой провайдер, один из лучших в Червоногвардейском районе.
Плюсы:Оплата через терминалы, скорость до 100 мб/сек
Минусы:Иногда на несколько минут отключается инет, свой ip адрес я нашел в черном списке нескольких спам баз(Подключен 1.5 месяца, спам был произведен около 1.5 лет назад).",0
скорость ноль еле ползает !!!а деньги заплачены как за нормальную скорость ...услуга не соответствует тому что заявлено.,1
"С каждым днем становится все хуже и хуже. Раньше вечером интернет притормаживал, сейчас это круглосуточно. В онлайн игры играть не возможно пинг зашкаливает, лаги и фризы, постоянные вылеты из игры. А деньги берут неплохие за свои услуги (600р чисто за интернет). 
Скорость скачивания всегда меньше скорости передачи в разы.",1
"согласен, скорость ща упала, причём существенно, но думаю в ближайшее время всё разрешится .. НО ... по сравнению с теми же провайдерами, предоставляющими услуги беспроводного интернета, Ютел вне конкуренции .. ребята, всё это лишний кипишь !!! не нада сеять панику .. думаю, руководству компании нет смысла ухудшать качество своего сервиса, чтобы потом его не возобновить на прежний уровень в ближайшее время, тем более сбои в сети случаются в любой из компаний ... ну а терять свою абонентскую базу, нажитую таким не  посильным путём, просто напросто никому не выгодно ... всё это вы должны понимать !",0
"подключен тариф оптика 2 Мбит/с 
на самом деле фактическая скорость 228 Кбит/сек
все висит, техподдержка ничего конкретного сказать не может",1
"Интернет хороший, подключил wi-fi роутер,скорость до 80 мб/сек.иногда бывает что пинг подскакивает, а так ничего нормас",0
"Всем привет) На мобильном интернете приходится висеть из за отсутствия другого... г.Саратов ул.Танкистов, район сенного, пробывал всех провайдеров,чьи рекламы пестрят на бил бордах нашего провинциального города, пробывал тестить в разных районах, и сделал вывод.никуя это не интернет.... Менафон-неплохо, иногда даже сам видел как показывает 5-6 мб/с но уж очень нестабильно, билайн-работает...работает так же как мегафон, разрывы соединения и оч маленький пакет трафика...каменный век какой то, и 2-4гб это смешно, пользовался и мтс, давно, отключил, так же как и мегафон,билайн, но где то черег год (15.11.10) попробывал мтс, купил усб удлинитель, нашел точку, повесил на окно, и ..... работает.... удивило что нет ограничений о которых заявлено и вот за 1,5 месяца 100гб (скорость разная-торенты 1-2мб\с, серфинг медленнее) примерно выкочал,бук правда порой работает сутками... ну все же.... а вообще совет-если нет возможности и стоит выбрать меньшее из 3х зол, ПРОСТО ВОЗЬМИТЕ МОДЕМ У ДРУГА И ПОСМОТРИТЕ КАК РАБОТАЕТ НА ВАШЕМ ПОСТОЯННОМ МЕСТЕ ЖИТЕЛЬСТВА) шнур+модем на окно обязательно) если есть какие вопросы-ICQ 123000741",1
"Приобрел себе уже 2-й модем) один дома на роутере стоит, вторым в пользуюсь в разных частях города по работе. Скорость меня очень очень устраивает! по спидтесту в центе позавчера мне выдал 27 мегабит на скачку и 19 на отдачу. у меня просто глаза вывалились когда увидел) На самом деле интернет действительно удобен в использовании, никаких программ, засоряющих ПК и прочих сложностей нет. стоимость всего 900р за 20 мегабит! где у нас можно найти такой интернет в городе?а если учесть то, что он полностью безлимитный и работает без роуминга в других городах так вообще класс! моя оценка 5!",1
"последнее время заметно стали падать скорости до 520 кбит/сек. После звонка в службу поддержки восстанавливаются, но не на долго всего на неделю. Фильм размером 1,5 Гб грузится два дня.",1
"Всё супер!! Перепробовал всё, но у меня нормально работает только мегафон. Одного не пойму, почему у меня IP Краснодарский я в РнД живу...",0
"Работаю через интернет и альтернативы ""ВоблаЦеликом"" в С**рани нету!!
За то десятилетие которое пришлось с ними ""сотрудничать"", они мне всю плешь проели. Начиналось всё с диалапа, закончилось FTTB (которую ещё не подключили) и на протяжении всех этих лет они только и делали, что трепали нервы, а я покорно платил, поскольку, ну нету больше других провайдеров в городе. Вот и сейчас уже 2 месяца сижу и жду когда же они мне подчинят ADSL, в тех поддержку звонить бесполезно, ругаться с ними бесполезно, упрашивать ещё бесполезней, только и делают что кормят завтраками, а результат - я 2 месяца практически так и не работал. Как временное решение, подключил 3G от мегафона, но сами понимаете, комфортно работать на нём не получается: анлим условный, аплоуд хуже ADSL1 ну и стоит это дело гораздо дороже. Вроди как в первом квартале этого года подключат оптику, но с ней уже вернулись водопои, а когда образину и РМЗ доподключат - в прайм-таймы опять сеть будет падать или вообще валяться не подымаясь. Потом через полгода бесконечных лагов они кое как расширят канал, инет поработает пару месяцев (максимум) и далее как по замкнутому кругу - опять п...ец. Они сначала меняют тарифы, а потом полгода думают, что же делать с возросшей на сеть нагрузкой. На то чтобы делать всё не через жопу у них мозгов не хватет поскольку вместа них у них ж... - достоверная информация из штаба врага.
В-общем: да, иногда они работают (несколько месяцев в году), но большую часть времени бесконечные лаги или полный офлайн.",1
"5 был инет фирмы ""ЛИ"". 2 месяца ""Билайн"" Разочарование полное. Вот уж действительно от добра добро не ищут. Скорость низкая. Сервис просто отсутствует. По телефону дозвон от 30-50 мин. результат - ноль. Делал заявку, обещали перезвонить через 15 миню. перезвонили через 3 дня. Была бы скорость обещанная по договору, можно было б закрыть глаза на многое. УБЕГАЮ от такого провайдера!",1
"Чебнет лучший провайдер чувашии. К этим словам и добавлять не чего ...
p.s.  слыш ты , не довольный , не нравится вали , инфолинк ждёт таких как ты ... попробуй по сиди месяцок на ифолинке сразу почуешь разницу!!!!
ЧЕБНЕТ ФОРЕВА ИМХО!!!",0
"Нахожусь примерно в ~ 10 км от райцентра п.Новоорск,скорость постоянно прыгает в зависимости от времени дня и загруженности сети.Сильно загружена сеть бывает под выходные начиная с17~до22,ночью бывает можно и фильмы в онлайне посмотреть.",1
"Подключен очень давно. Раньше было еще более-менее, но сейчас Нетбайнет превратился в отстойную контору. До техподдержки дозвониться — это терпение иметь надо!
 Скорости нет. Вместо заявленных 100 мегабит имею 15 в лучшем случае. Техподдержка — это просто мрак! Почему я постоянно должен звонить и выяснять почему у меня плохо работает или совсем не работает интернет? И ждать их ответа по полчаса — часу? И это за немаленькие деньги, которые я плачу. Бред, короче! Ответ даже не жду, ибо, знаю, что последует стандартная отписка, которую расцениваю как НЕУВАЖЕНИЕ к клиенту. Вывод — менять провайдера и как можно быстрее.",1
"Использую услуги ИнетКом и дома, и в офисе, отличный интернет, хорошие цены! 
Советую!
Были; ""Ультима"", ""АКАДО"", ""Лайфлинк"" есть с чем сравнивать. О услугах АКАДО хотелось бы сказать отдельно, редкостный бардак!",0
"за последние годы ЕЖЕМЕСЯЧНО! пропадает интернет "" до восстановления». обычно на несколько часов… было сутки. последний раз с пятницы до понедельника. покидаю провайдера
 скорость по договору 250 мбс реально 94\93",1
В мегафоне одни те самые ни скорости ни стабильности. на работе через роутер их сижу. постоянные обрывы. переключаюсь на телефон тоже самое!,1
"Всем доброго дня!Я живу по улице Окская (Москва),подключена была к мгтс который деньги берет бешенные а скорости НИКАКОЙ!!!!!После очередного психа,посмотрела что в соседнем доме есть iflat,почитала отзывы,вроде ничего так,оставила заявку,подключили в тот же день!По времени заняло мин.30 это максимум...Оч понравился мне тариф новогодний за 500р.....И опа!Все работает,тьфу тьфу тьфу пока без сбоев  и аварий как многие любят отмазывать свои косяки =)На сей день советую и рекомендую....Поэтому по всем критериям ставлю сплошные 5..",1
"Скорость чуть больше заявленной в договоре (по договору до 70Мбит/с, при тестах в среднем 80Мбит/с). За два года никаких проблем.",0
"При заявленной скорости до 8 Мбит/с реально гораздо меньше, можете проверить на 2ip.ru http://2ip.ru/speedbar/MTI5MjE4Mzc4Ny0zODY0Ljk2OS04MzQuOTMzLTAtMA==.gif",0
Отличный интернет провайдер! Скорость порой даже выше чем должно быть! Цены тоже норм. Правда это единственный провайдер в моем доме так что... Не знаю как другие работают. Но этот мне нравиться сидела на СтримТВ какое то время так там вообще ужас...,0
"Оставлял кучу заявок в личном кабинете, писал много раз на почту, обращался в чат неоднократно и звонил в службу поддержки = полное отсутствие клиентоориентированности и решения, как и любого ответа со стороны провайдера в мой адрес.
Номер договора 2847376.

Дублирую и тут — при достижении баланса 0 рублей я перехожу к другому провайдеру, вот такой мой итог пользования услугами позорного онлайм без 1 месяца как 10 лет.

Спасибо онлайму за такое счастливое завершение договорных обязательств.",1
"Когда включат хотя бы AnnexM, upload 500 кбит вобще никуда не годится.

Не знаю, за что деньги плачу.",1
я использую свой телефон с симкой мегафона в режиме модема WIFI для доступа с ПК в интернет скорость хорошая в области тоже ловит хорошо даже лучше чем мтс,0
"Очень низкая скорость на протяжении длительного времени.Каждый день надеюсь на лучшее соединение.В чем причина? Друзья, за что я плачу деньги???",1
"Поражаюсь наглости Ростелекома. В пителе за 400 руб. скорость (средняя - 18 Мб/c) , у нас в Мурманске - 500 руб - 1,8 Мб/с. И никто и ни что сделать не может! И не хочет. Вот вам и борьба с монополией, коррупцией...",1
"Сегодня терпение заканчивается Скорость 1 вместо 15 Кбит/сек. Скайпа нет, ничего не загружается, полный отстой!",1
"Техподдержка безграмотная, отношение наплевательское, дозвониться невозможно.
При любой проблеме теряешь полдня чтобы хоть дозвониться и сделать заказ на исправление.
При этом тебя записывают на послезавтра в лучшем случае.
Интернет то есть, то нет. И так постоянно. Звонишь им - ""у нас все ОК"". И делай, что хочешь.
Ответ оператора на любой вопрос - пересканируйте каналы или перезагрузите роутер.

Буду искать другого провайдера. Это хамство уже надоело.",0
"В принципе нормальный провайдер, но есть одно ""но"", провода старые и не вытягивают максимальную скорость, хотел себе заказать 4 мб\сек, но мне в конторе сразу сказали, что максимум вытянет 512 кб\сек, если выше подключить, будут обрывы на линии. И еще одно - когда погода спокойная - инет пашет отлично, но только поднимается легенький ветерок, модем вырубает через каждые 2 минуты((( вот так вот",0
"Я не рекомендую провайдер МегаФон использовать именно в Новокузнецке: так-как это достаточно дорого и уровень сигнала не очень хороший, достаточно редко поднимается выше 50 процентов. В других же городах/регионах ловит лучше и что также не мало-важно стоимость интернет опций гораздо дешевле. Но скорость достаточно хорошая особенно если вы живёте в месте, где уровень сигнала доходит хотя-бы до 80 процентов.",1
Замечательный провайдер. Скорость отличная. Сменил тариф на «Моно 2+» скорость загрузки 5-6 Мб/сек ночью скорость поднимается до 9 Мб/сек скорость отдачи немного страдает.,0
"бестолковый провайдер которому по х... на своих клиентов, их интересует только прибыль а на стабильность интернета да и вообще на своих клиентов им все равно!",1
"Купил модем Yota в феврале 2013, по началу все было неплохо, скорость устраивала более чем, хотя живу в отдаленном районе, НО, где-то в конце осени 2013 начались проблемы со скачиванием через torrent, а к началу зимы еще и видео перестали грузится, не понимаю в чем проблема, может кто ответит, заранее спасибо.",1
"Как подключил года 3 назад, после того как в билайн мне сказали что ремонта месяц ждать, больше не вспоминал про провайдера, только деньги клал, да тарифы менял на более выгодные при обновлении тарифных планов. Разрывов на моей памяти не было вообще, хотя и в игры играю и видео смотрю каждый день",1
"Был раньше нормальный провайдер сейчас черти что только мозги компасируют, мы для юр.лиц и так далее все это лабуда.... одни слова
дошло до такой степени что пришлось взять провайдера с более высокой ценой(Мегаполис-Телеком), 2 месяца полет нормальный...",1
"Не знаю как они скорость измеряют, но кажется что линейкой... Сначала инет просто вырубался каждые 3 дня у меня, ниже этажом у соседа повезло больше каждые 5 дней... И не включался, до тех пока не приходил ""специалист"" и не сбрасывал модем... В общем я каждые 3 дня звонил, а то и по 2-3 раза через примерно месяца 3 обрывы перестали происходить, наверное я им уже надоел... Они мне надо сказать тоже... Зато теперь ПИНГ просто АСТРОНОМИЧЕСКИЙ... Периодически инет вылетает, но обратно возвращается. Суть в том, что я понял что все что преследует название МТС - это фарш... 3Г модем обман, инет [ЦЕНЗУРА]... Свзязь дорого... Постараюсь избегать их, а в своем доме буду менять инет уже объявы написал нужно развесить, попробую провести другой инет, а их обломать...",1
"Подключися к МТс ,2 месяца было все супер ,скорость была 8мбит\сек,а потом резкотвсе изменилось,скорость не превышает 30кб\сек,прием не  у одного меня,всехдрузей пересадил на мтс и у них такие же проблемы,оператор пока игнорирует мои заявки",1
"Являюсь абонентом провайдера 2Ком с июля 2013 года. Может быть у нас в районе (ЮЗАО Обручевский район)связь по каким-то причинам лучше и нам просто повезло, но за все время использования услуг данного провайдера проблем не наблюдалось. За весь период (а это больше года), лишь один раз по неизвестной причине интернет просто висел. В остальное время в доме прекрасно работают все устройства, в том числе цифровой интернет от этого же провайдера. Соответственно это и бесконечные мультфильмы, и фильмы и соц.сети. Летом этого года очень настойчиво предлагали МГТС, мы отказались, решив не менять хорошее на новое. Соседи, подключившие МГТС, жалуются на отвратительное качество связи. 
А самое большое достоинство, лично для меня, это возможность получить оперативную помощь в службе клиентской поддержки. Так что пока все устраивает. Надеемся дальше будет так же.
Договор № 153236",0
"Их пнули,  и они наконец то подняли нам скорость..
Высказывание местного управленца про бывшую скорость (128 Кбит/с): ну.. у нас мировой стандарт - 128 входящей + 128 исходящей = 256",1
"Собстно недоволен билайном , так как обманывают.. Был тариф 40мб/с за 500 р в месяц, сделал на спидтесте пинг несколько раз, затем подключил 100мб/с за 950 руб и проделал ту же самую процедуру и абсолютно 0 изменений, куда жаловаться и как с этим бороться непонятно..",1
"Собственно, пользуюсь услугами данного провайдера у же на протяжении 3х лет, вот что могу сказать о интернете от Билайн :
1 - Крайне редкие сбои. Бывают, конечно, но разрешают их достаточно быстро.
2 - Скорость. Скоро просто великолепная. Никаких проседаний нету. Если Вы играете в какие-либо онлайн-игры где значение скорости интернета очень важно - Билайн для вас. ( http://www.speedtest.net/my-result/5047568655 ) 
3 - Цена. Как по мне, за такие услуги 550р/мес - не очень то и дорого, причем это тариф ""Безлимит"" 
4 - Высокое качество обслуживания Сколько раз обращался в службу поддержки, всегда оставался доволен ответами специалистов. Помогли, также, с настройкой своего роутера. 

В итоге, Билайн - провайдер, с вполне приличной ценой, отличным качеством интернета, с отличной службой поддержки. Я советую :)",0
"Что сказать, провайдер и провайдер. С тем самым легендарным Дегунино.нет ничего общего не имеющий.
До сих пор используется убогий PPTP, и разделение на локалку и интернет. Причём локальный адрес до сих пор надо настравивать руками.
Стабильный? Да. Только стабильность и можно занести в актив. Типичный середнячок.",0
"Помоему выдает всю скорость согласно тарифу. 30мбит подключено,- 30 и выдает, если конечно не ограничивается выдачей ресурса (торрентом или каким из сайтов). с поддержкой пока не пересекался",0
"лс 363010636395, вам самим уже не стрёмно? скорость на 20 июля 2016 года, пинг89, скорость подключения 0, 10, ммикромикробит в секу, скорость передачи 0,52, плачу 600 рублей — за что? текстовые странички грузятся по полминуты, заявок накидано — море, просто могут не приехать, не отзвонится — звонишь в техподдержку там типа удивляются у вас же всё сделали -кто когда? (((до этого летало всё были с городов Тольятти, Самара гости удивлялись — у нас хуже, уже не первый год, техники и линейщики уже знают меня по имени и адресу — ОТСТОЙ ПОЛНЫЙ СТАЛ этот сызраньростелеком (",1
